TARGET,OEXP,POLARITY
Hotel,reasonable in terms of a place to sleep,Positive
,Robbed in elevator of hotel !,StrongNegative
area,Very dangerous,StrongNegative
your room,completely done.,StrongPositive
the animation,very well organized,StrongPositive
holiday,nice,Positive
show,every night.,Positive
hotel,great,StrongPositive
hotel,Very good,StrongPositive
The rooms,looked very good every day,StrongPositive
the B & B,less accustomed to handicapped people,Negative
the B & B,have to climb 20 steps to reach the first floor,Negative
wifi,including,Positive
wifi,free,Positive
staff,extremely kind,StrongPositive
nearly all rooms,splendid view,StrongPositive
the owners,very willing to help,StrongPositive
B & B,Very recommendable,StrongPositive
the entrance,in front of the Via di Pantaneto,Positive
It,adjusted to modern standards,Positive
It,recently renovated,Positive
It,part of an old palazzo,Positive
elevator,There is no,Negative
all the staff,professional !,StrongPositive
all the staff,knowledgeable,Positive
the organization of the conference,outstanding,StrongPositive
timing,perfect,StrongPositive
The conference room,spacious,Positive
The conference room,bright,Positive
the room,comfort,Positive
the transition from business to pleasure,very easy,StrongPositive
the hotel,highly recommend,StrongPositive
,located on the beach,Positive
experience,great,StrongPositive
experience,would gladly repeat,Positive
place,Great,StrongPositive
my experience,very pleased,StrongPositive
The service,excellent,StrongPositive
The reception area,clean,Positive
,NOT to eat in the buffet restaurant,Negative
the outdoor staff,pleasant.,Positive
choice of food,very limited,StrongNegative
the quality,very limited,StrongNegative
the upper management,like british politicians,Negative
the lobby staff,very helpful,StrongPositive
bar,were kept tidy,Positive
The pool,were kept tidy,Positive
beach areas,were kept tidy,Positive
The house · keeping,basic,Negative
The house · keeping,not impressive,Negative
,Not,Negative
This hotel,does not deserve 4 *,Negative
most of the staff,very pleasant,StrongPositive
the cleaning,verry bad,StrongNegative
Bathroom,not cleaned at all,StrongNegative
sleeping floor,not cleaned at all,StrongNegative
,Average,Negative
storage space,no,Negative
storage space,not very convenient,Negative
the room,not clean,Negative
The rooms,close to the swiming pool,Positive
The rooms,clean,Positive
The rooms,diidn t hear the noise,Positive
The rooms,big enough,Positive
The rooms,with balcony,Positive
kindness of staff,sastisfied,Positive
cleaness,sastisfied,Positive
food,sastisfied,Positive
,would come again,Positive
the hotel manager,helpfull.,Positive
the hotel manager,very friendly,StrongPositive
All,would come again,Positive
All,good,Positive
everything,alright,Positive
the service of the staff,good work,Positive
the whole room,had everything essential,Positive
location,very good,StrongPositive
The room,not much light,Negative
The room,with only one window,Negative
The room,very silent,StrongPositive
The room,quite tiny,Negative
The bed,big,Positive
The bed,really comfortable,StrongPositive
The rooms,very clean,StrongPositive
it,Top !,StrongPositive
,a little bit off the loud tourist track,Positive
,Close to all the interesting points in Bilbao,Positive
bathroom,with a bathtube,Positive
bathroom,huge,Positive
the staff,really friendly,StrongPositive
hotel,Nice,Positive
Weekends,little costlier,Negative
Some construction,was going on,Negative
Some construction,Ok,Positive
Some construction,little annoying,Negative
it,great,StrongPositive
dining options,Nice,Positive
Pools,awesome,StrongPositive
Hotel,Nice,Positive
Hotel,Affordable,Positive
Price for Weekday stay,Great,StrongPositive
somewhere else,would stay,Negative
The area,residential,Negative
the room,very small,StrongNegative
dining options,not many around,Negative
shopping,not many around,Negative
hotel,very simple,StrongNegative
food at the bar,no,Negative
,next to a subway station,Positive
a little table,there is only,Negative
it,next to the convention center,Positive
,Overpriced for the service,Negative
the hotel,convenient,Positive
refrigerator in the room,No,Negative
,booked again,Positive
this hotel,already went 14 times,StrongPositive
Dana Beach,a top hotel !,StrongPositive
hotel,the best,StrongPositive
everything,good,Positive
the food,good,Positive
the people who are working,good,Positive
the rooms,good,Positive
the money,'s not worth,Negative
enough seats,There are not,Negative
enough seats,for dinner have to wait,Negative
the 4 stars,let alone,Negative
there,Don 't go,Negative
the beach,the only nice thing,Negative
this hotel,would never ever come back,StrongNegative
the late · breakfast,Superb,StrongPositive
people,nice,Positive
people,friendly,Positive
people,polite,Positive
dinner,'s possible until 24.00,Positive
All the services,great,StrongPositive
nationality,Big variety,Positive
age,Big variety,Positive
Resort,All comfort,Positive
Resort,with 100 % comfort,StrongPositive
Resort,very nice,StrongPositive
,Clean,Positive
It,little shabby,Negative
It,bland,Negative
It,dark,Negative
,plenty of hot water,Positive
,Clean enough,Positive
Housekeeping,frequent,Positive
,backing on to a delivery alley and bar,Negative
,Noisy in the extreme,StrongNegative
the toilet,smelt strongly of urine,Negative
5 star tag,ridiculous,Negative
staff,helpful,Positive
,Nothing Grand,Negative
foyer,beautiful,Positive
place,wonderful,StrongPositive
,Couldn 't ask for a better resort,StrongPositive
They,to keep happy,Positive
experience,wonderful,StrongPositive
the people,just amazing,StrongPositive
,planning to return,Positive
place,wonderful,StrongPositive
resort,Awesome,StrongPositive
vacation,Awesome,StrongPositive
this holiday,Loved,StrongPositive
people,Wonderful,StrongPositive
size of the room,no place to hang something more than two shirts,Negative
size of the room,really small,StrongNegative
negative review,not,Positive
restaurants,just crossing the roads there are,Positive
restaurants,at affordable prices,Positive
restaurants,plenty of very good,StrongPositive
zone 1,just cross the boulevar du Periferique,Positive
public transportation,just cross the boulevar du Periferique,Positive
,Impossible to hang trousers,Negative
place,nice,Positive
orange juice,squeezed on demand,Positive
orange juice,really fresh,StrongPositive
The hotel,easy to find,Positive
our room,excellent,StrongPositive
Its position,lovely,StrongPositive
The decor,very good,StrongPositive
Trier,long walk,Negative
shower,superb,StrongPositive
bathroom,superb,StrongPositive
the poor choice of German wines,disappointing,Negative
parking,reasonably · priced,Positive
hotel,beside park,Positive
hotel,Lovely,StrongPositive
choice of food and wine,less than expected,Negative
the staff,very friendly,StrongPositive
the staff,helpful,Positive
Room,fine,Positive
Breakfast,standard,Negative
touristy area,Not,Negative
Personnel,friendly,Positive
view from the window,no at all,StrongNegative
Wi · fi,quite slow,Negative
,Okay for a business trip,Positive
The room,pretty dark,Negative
something different,would have chosen,Negative
some refurbishment,would be good,Negative
hotel,Pretty basic,Negative
,Acceptable for a short business trip,Positive
,not in the very outskirts,Positive
,not in the very center,Negative
,well connected to public transportation,Positive
home made pastry,enjoyed,Positive
cakes,enjoyed,Positive
The swimming pool,for families with children,Positive
The swimming pool,for a relax,Positive
""" fitness "" choice of food",very good,StrongPositive
""" fitness "" choice of food",every evening,Positive
The bikes,in very bad conditions,StrongNegative
this hotel,recommend,Positive
good coffee,missed,Negative
Food,excellent,StrongPositive
shuttle taxi to different places,free,Positive
rooms,modern,Positive
rooms,quite spacious,Positive
breakfast,good,Positive
the service,perfect,StrongPositive
,Absolutely amazing for the price we paid !,StrongPositive
the hotel,very satisfied,StrongPositive
The price,amazing,StrongPositive
,treated like royalty,Positive
,Very clean,StrongPositive
,tidy,Positive
The swimming pool,quite small,Negative
Everything you need,at walking distance,Positive
a metro station,just outside the entrance,Positive
hotel,stylish,Positive
pub,nice,Positive
staff,Very attentive,StrongPositive
staff,courtesious,Positive
the hotel,definitely recommend,StrongPositive
kitchen,Very good,StrongPositive
location,everthing at walking distance,Positive
location,Excellent,StrongPositive
location,Excellent,StrongPositive
It,a city hotel with all the comforts,Positive
Deira City Center shoping mall,across the street,Positive
beds,super comfortable,StrongPositive
All our requests,perfectly handled by saff,StrongPositive
breakfast buffett,awesome,StrongPositive
airport shuttle service,the moct convenient,StrongPositive
Staff,very capable,StrongPositive
it,liked,Positive
lift,There is no,Negative
this hotel,Hardly ’ll stay in again,Negative
it,very near to the Barcelona ’s main touristic street – La Rambla,Positive
stares,narrow,Negative
upper floors,very difficult to climb,StrongNegative
hotel,Economically priced,Positive
the central location,enjoyed,Positive
flag,red,Negative
waves,dangerous,Negative
Everything,perfect,StrongPositive
service,super,StrongPositive
,too steep,Negative
the beach,but,Negative
it,was not so bad,Positive
hotel,Super,StrongPositive
service,perfect,StrongPositive
access,outside the hotel,Negative
beach,poor,Negative
the noise,hear,Negative
room insulation,very poor,StrongNegative
room insulation,Noisy,Negative
wooden floor,which spreads and maximizes the noise,Negative
wooden floor,there is,Negative
this experience,worse than any hostel before,Negative
carpet,There is no,Negative
Fitness room,lacks equipment,Negative
downtown,close,Positive
bathroom,Small,Negative
service,Good,Positive
state of the art cardio equipment,offers,Positive
staff,friendly,Positive
size of rooms,decent,Positive
the hotel,can be recomended,Positive
hotel,Nice,Positive
Hotel,Nice,Positive
breakfast,wonderfull,StrongPositive
,"close to shopping , to the restaurant and transfer",Positive
the stuff,very helpfull,StrongPositive
the room,very clean,StrongPositive
room service,immidiately come,Positive
every thing,perfect,StrongPositive
hotel,Perfect,StrongPositive
the location,near the river,Positive
staff,Very friendly,StrongPositive
Wellness offer and quality,very good,StrongPositive
Diner,excellent,StrongPositive
the choice at breakfast,good,Positive
park,wonderful,StrongPositive
hotel,Nice,Positive
Streetside,rather noisy,Negative
The staff,profession,Positive
The actual neighbourhood,not great,Negative
The hotel,with swipe card access,Positive
The hotel,very secure,StrongPositive
Breakfast,included,Positive
Breakfast,substantial,Positive
The bathroom,well fitted,Positive
The bathroom,could have been bigger,Negative
location,very professional,StrongPositive
location,Central,Positive
hotel,walking distance to the centre of town,Positive
hotel,great,StrongPositive
hotel,very close to the main railway station,Positive
,Would stay again,Positive
hotel,Excellent,StrongPositive
staff,Friendly,Positive
location,Quiet,Positive
,Well located,Positive
,No problems,Positive
Hotel,Excellent,StrongPositive
situation,Good,Positive
staff,Friendly,Positive
the food,available all day long,Positive
the food,really good,StrongPositive
,Sun & relax for families,Positive
a good espresso,there is,Positive
mini minidisco,all the evenings,Positive
the drinks,as well as,Positive
It,a great pleasure,StrongPositive
The location,very lovely arranged,StrongPositive
surrounding,very lovely arranged,StrongPositive
size of the room,generous,Positive
the bathroom,very great,StrongPositive
size of the room,big,Positive
the staffs knowledge of foreign languages,very suprised,StrongPositive
the beach,great,StrongPositive
variety of food,generous,Positive
The weather,fine,Positive
,Paradise on earth,StrongPositive
,felt like in paradise,StrongPositive
welcome,friendly,Positive
the Dana Beach Resort,would like to visit again,Positive
The room,luxurious,StrongPositive
The room,big,Positive
decoration,tasteful,Positive
hotel,not in the center,Negative
hotel,Great,StrongPositive
hotel,very modern,StrongPositive
"the restaurant "" Volvereta """,great good,Positive
"the restaurant "" Volvereta """,amazing views,StrongPositive
the others,very friendly,StrongPositive
The boys in the lobby bar,very friendly,StrongPositive
stay,very pleasant,StrongPositive
welcome,warm,Positive
all the personal,very okay,StrongPositive
snorkeling,missed,Negative
a reef,missed,Negative
a dutch channel on television,missed,Negative
The double rooms,very clean,StrongPositive
The double rooms,perfect,StrongPositive
The personal,let you feel that you are welcome,Positive
The personal,treat you with care,Positive
this hotel,will NOT recommend,Negative
they,never have as a guest again,Negative
the hotel,in amazing condition,StrongPositive
the pool,has no shadows,Positive
This hotel,awesome !,StrongPositive
hotel,Best,StrongPositive
my experience,amazing,StrongPositive
the rooms,comfortable,Positive
the rooms,clean,Positive
location,good,Positive
location,continue going there,Positive
selection of food,Excellent,StrongPositive
bars,Excellent,StrongPositive
restaurants,Excellent,StrongPositive
Resort / rooms,tidy,Positive
Resort / rooms,clean,Positive
Staff,cannot do enough for you,Positive
bathroom,fantastic,StrongPositive
living room,with private terrace,Positive
pools,Absolutely unique,StrongPositive
Staff,always happy to comply with our wishes,Positive
,5 stars,Positive
restaurants,Excellent,StrongPositive
bed,really nice,StrongPositive
every detail,looked after,Positive
hotel,Great design,StrongPositive
The villa,very spacious,StrongPositive
the place,maintained very well,StrongPositive
dvd player,with so many channels,Positive
tv,with so many channels,Positive
Kettle,with so many channels,Positive
radio,with so many channels,Positive
Coffee maker,with so many channels,Positive
TV,with so many channels,Positive
toiletries,Ample,Positive
towels,Ample,Positive
the breakfast servings,very generous,StrongPositive
Room,equipped,Positive
room,Very clean,StrongPositive
room,fresh,Positive
Alphons,very helpful,StrongPositive
This B & amp ; B,very clean,StrongPositive
This B & amp ; B,fresh,Positive
Beddings,comfortable,Positive
Beddings,warm,Positive
rooms,furnished decently well,Positive
rooms,clean,Positive
rooms,simple,Negative
Quality,good,Positive
parking for all hotel and inn customers,free,Positive
discount to customers of the Hallmark Inn,applied,Positive
the ration between costs and quality,fairly good,Positive
two options,there are,Positive
restaurant,there are,Positive
the Hallmark hotel restaurant,there are,Positive
The hotel,doesn 't have an internal restaurant,Negative
internet connection,there 's,Positive
internet connection,free,Positive
quality for price,Good,Positive
position,close to the city center and the train station,Positive
position,good,Positive
The cleanliness,very good,StrongPositive
The hotel,great,StrongPositive
rooms,more than 700,Negative
an underground garage,very well secured,StrongPositive
management,good,Positive
the co · ordination between the working personnel,good,Positive
breakfast,great,StrongPositive
breakfast,abundant,Positive
stay,nice,Positive
this location,returned 12 times,Positive
my next stay,already booked,Positive
staff,trying to do things as fast as possible,Positive
staff,helpful,Positive
in the bathroom,not working,Negative
the scale,not working,Negative
Hotel,never worth five stars !,StrongNegative
the bass,not expect to be able to sleep,Negative
music,not expect to be able to sleep,Negative
the bass,will hear,Negative
music,will hear,Negative
The room,covered with dust and a few electrical items,Negative
the money we had to pay,Never worth,StrongNegative
room,Great size,StrongPositive
center,not too far,Positive
beds,really confortable,StrongPositive
room,really quite,StrongPositive
Breakfast,varied,Positive
Breakfast,excellent,StrongPositive
pool,incredible,StrongPositive
hotel,Really nice,StrongPositive
hotel,confortable,Positive
hotel,quiet,Positive
tram station,just in front,Positive
The hotel,located near Place de Opera,Positive
The location,the only good thing,Negative
It,noisy,Negative
doors,thin,Negative
walls,thin,Negative
location,good,Positive
this hotel,would not recommend,Negative
,very small,StrongNegative
,smelly,Negative
,dirty,Negative
hotel,Cheap,Positive
hotel,noisy,Negative
the price,decent,Positive
the bath tub,dirty,Negative
the bath tub,used,Negative
The food,incredible,StrongPositive
Its,extremely clean,StrongPositive
selection for the buffet,good,Positive
the staff,friendly,Positive
hotel,Great,StrongPositive
it,would recommend,Positive
Hotel,very spacious,StrongPositive
Hotel,Clean,Positive
Hotel,Friendly,Positive
Hotel,Wonderful,StrongPositive
The rooms,huge,StrongPositive
holiday,Perfect,Positive
breakfast,buffet,Positive
italian,there was,Positive
oriental,there was,Positive
two main buffet restaurants,there was,Positive
asian restaurant,there was,Positive
mexican,there was,Positive
beach,beautiful,Positive
cocktails,accompanied by a live singer,Positive
pools,huge,StrongPositive
with regard to food,spoilt,Positive
The hotel,exceptionally clean,StrongPositive
The hotel,boasts outstanding architecture,Positive
the city,close,Positive
Breakfast,super,StrongPositive
stay,quiet,Positive
hosts,friendly,Positive
place,excellent,StrongPositive
Alphons,excellent hosts,StrongPositive
Martha,excellent hosts,StrongPositive
the best holiday in my life.,spent there,Positive
there.,'ll come back,Positive
very friendly animator,there was,Positive
Cleanless,very good,StrongPositive
stay,8th,Positive
hotel area,Big,Positive
,"Very close to Flower Market , Pathé cinema , bars",Positive
Rooms,neatly decorated,Positive
Rooms,spacious,Positive
,Very convenient nearby tram stop,Positive
Breakfast,delicious,StrongPositive
hotel,highly recommended,StrongPositive
view on the city,great,StrongPositive
Dam Square,only a few minutes ' walk or 2 tram stops away,Positive
location,excellent,StrongPositive
hotel,Quite comfortable,Positive
NH CARLTON,definitely the best,StrongPositive
there,hope to be,Positive
,Nice !,StrongPositive
,"enjoyed , a lot !",StrongPositive
the room,comfortable,Positive
the room,clean,Positive
the room,adequate,Positive
the breakfast,did not have,Negative
the breakfast,the availability of better food locally,Negative
,very dissapointed with the singke room.,StrongNegative
the double room,better,Positive
hte bathing facilities,good,Positive
experience,basic,Positive
The receptionist,friendly,Positive
The receptionist,took all the trouble to help me,Positive
My breakfast,more than sufficient,Positive
receptionist,very vriendly,StrongPositive
value for money,good,Positive
reception,failed to intervene,Negative
This,what one would expect,Positive
Stay,quite noisy,Positive
hotel,Quite nice,Positive
check in,no upgrade,Negative
check in,quite swift,Positive
the staff,unable to cope with the standard of a five star hotel,Negative
stay,unpleasant,Negative
it,had to discuss,Negative
my bill,full of errors,Negative
garage,There is no,Negative
hotel,Nice,Positive
everything Frankfurt has to offer,close,Positive
,extremely long walk from the restaurant / reception,Negative
he,could not have been more helpful,StrongPositive
this resort,would highly recommend,StrongPositive
beach resort,Excellent,StrongPositive
resort hotel,Very large,Positive
breakfast,really great,StrongPositive
the bathroom,had mold between some tiles,Negative
The rooms,a lot smaller than expected,Negative
the beach,within minutes with the bike,Positive
the centre of Nes,really close,StrongPositive
accomodation,Nice,Positive
hotel,Nice,Positive
staff,friendly,Positive
distance to the sea,great,StrongPositive
the food,could be more of variety or a choice of local foods,Negative
the food,could have been better,Negative
The massage,good,Positive
the Gold 's Spa,needs quite a big improvement,Negative
this hotel,would definately recommend,StrongPositive
suroundings,very nice,StrongPositive
"other "" ingredients "" of a spa treatment",not impressive,Negative
there,had a very good time,StrongPositive
Overall impression of the hotel,excellent,StrongPositive
several VIP services,had,Positive
area at the pool and in the garden,VIP,StrongPositive
The service at the LEVEL lounge bar,amazing,StrongPositive
clubs,discount,Positive
laundry,discount,Positive
shopping areas,discount,Positive
several things,discount,Positive
restaurant,discount,Positive
it,surely visit again,Positive
the package of the honeymooners,took,Positive
many other services,special,Positive
holidays,the best ever !,StrongPositive
mini bar,free,Positive
mini bar,refilled,Positive
restaurant,VIP,StrongPositive
lounge bar access,free,Positive
SPA treatment,special,Positive
service,not good,Negative
check in,Took hours,Negative
air condition,out of order,Negative
Tele,out of order,Negative
Service desk,bad,Negative
Breakfast,disaster,StrongNegative
fridge in 1 of the rooms,No,Negative
chairs / tables,uncomfortable,Negative
the elevator,Noise,Negative
tea / coffee,cold,Negative
quality,bad,Negative
quality,To expensive,Negative
Location,fine,Positive
food,bad quality,Negative
food,no diversity,Negative
this Hotel,good value,Positive
cuisine,excellent,StrongPositive
cuisine,surprised,Positive
Front desk,very positive,StrongPositive
Front desk,extremely well trained,StrongPositive
the Casa 400,glad,Positive
its,quiet,Positive
food,great,StrongPositive
room,great,StrongPositive
service,great,StrongPositive
Its,close to the train ( Amsterdam Amstel station ) and trams,Positive
atmosphere,there 's really nice,Positive
the food,very very poor,StrongNegative
its,clean,Positive
its,lovely,Positive
it,wouldn 't recommended,Negative
breakfast,don 't cater for Brits,Negative
breakfast,cold most days,Negative
somewhere else,d go,Negative
food,Really poor,StrongNegative
The hotel,more like an average 2 · 3 star,Negative
The Egyptian People,friendly,Positive
The Egyptian People,happy to talk to you,Positive
carpets,need an urgent refurbishment,Negative
walls,need an urgent refurbishment,Negative
the furniture,need an urgent refurbishment,Negative
One TV,didn 't function several times,Negative
a strange smell,There was,Negative
some cleaning,would be nice,Negative
nousy works,There were,Negative
breakfast,OK,Positive
The good sides,limited to two,Negative
,A huge disappointment,Negative
This hotel,not worth 3 stars at all,Negative
The rooms,tiny,StrongNegative
The location,excellent,StrongPositive
restaurant,very elegant,StrongPositive
breakfast,great,StrongPositive
breakfast,a view on the splendid surrounding gardens,Positive
breakfast,with a lot of choice,Positive
bathroom,well · equipped,Positive
bed,large,Positive
bed,comfortable,Positive
dressing · room,separate,Positive
dressing · room,furnished,Positive
all modern comforts,great,StrongPositive
all modern comforts,luxury of an 18th Century palace,Positive
,18th century luxury with modern comfort !,Positive
The old villa,recently restored,Positive
The room,ideal for a romantic stay,Positive
service,excellent,StrongPositive
choice of food,excellent,StrongPositive
hotel,Excellent,StrongPositive
service,Excellent,StrongPositive
food,Very happy,StrongPositive
All staff,very friendly,StrongPositive
keys,there are no,Positive
The bar,great,StrongPositive
Breakfast,highly recommended,StrongPositive
this hotel,a great discovery,StrongPositive
The rooms,with simplistic design,Positive
The rooms,fabulous,StrongPositive
food,brilliant,StrongPositive
district of Paris,not commonly on the tourist map,Positive
district of Paris,just a short walk away from Montmartre and Gare du Nord,Positive
fingerprints,let you through to you room,Positive
a small gym,there is,Positive
hotel,design,Positive
hotels,the most interesting I 've stayed ever,StrongPositive
slippers,had,Positive
Nespresso machine,had,Positive
robe,had,Positive
the halls,hushed,Positive
rooms,hushed,Positive
the halls,modern,Positive
rooms,modern,Positive
,very well located,StrongPositive
,not far from the Sablon and downtown,Positive
elegance,Hip,Positive
The location,excellent,StrongPositive
gym,Free,Positive
gym,ample,Positive
the hotel,recently renovated with style and attention to detail,Positive
minibar drinks,free,Positive
The Hotel,modern,Positive
The Hotel,hip,Positive
The Hotel,clean,Positive
here,would certainly stay again,Positive
spa,available,Positive
the lobby,loungy feel,Negative
the lobby,Dark,Negative
Staff,friendly,Positive
location,good,Positive
the car park,a little busy,Negative
it,sorted to everýone 's satisfaction,Positive
staff,very helpful,StrongPositive
staff,great,StrongPositive
dogs,accepts,Positive
a little later cut off on Sunday,would have preferred,Negative
the breakfast times,fine,Positive
groundfloor room,no problem,Positive
access for my scootmobile,no problem,Positive
management,great,StrongPositive
team,great,StrongPositive
staff,great,StrongPositive
place,Great,StrongPositive
staff,friendly,Positive
staff,efficient,Positive
parking of the scootmobile,sorted without any fuss,Positive
the breakfast,ok,Positive
room,comfortable,Positive
room,clean,Positive
it,close to the city center,Positive
it,easy to reach,Positive
it,not very moder,Negative
it,ok for 3 star hotel,Positive
my stay,enjoyed,Positive
Hotel,close to railway station,Positive
the hotel,very close to raliway station,Positive
it,recommend,Positive
staff,friendly,Positive
breakfast,it 's € 7 / person,Negative
breakfast,not free,Negative
Staff,helpful,Positive
Staff,professional,Positive
Staff,friendly,Positive
Bathroom,clean,Positive
Bathroom,gets flooded when showering,Negative
front desk attendance,Safety with card system,Positive
front desk attendance,excellent,StrongPositive
,Somewhat confusing and unclear,Negative
breakfast,provided for free,Positive
Location,excellent,StrongPositive
Transport to the airport,too expensive,StrongNegative
elevator,no,Negative
stairs,narrow,Negative
phone in the room,no,Negative
TV,not working,Negative
The room,clean,Positive
ala carte italian,awful,StrongNegative
views,great,StrongPositive
restaurant,good,Positive
whole public areas,needs refurb,Negative
some parts of the hotel,dirty,Negative
,had great time,Positive
,would go back,Positive
service at the bar,very slow,StrongNegative
location,fab,StrongPositive
management,could be better,Negative
,Beware of a small step before the elevators,Negative
the bellmen,never failing to salute,Positive
the bellmen,The only efficient staff,Positive
Food choice,not well selected,Negative
Food choice,very limited,StrongNegative
especially concierge services,very deteriorating,StrongNegative
Personal service,very deteriorating,StrongNegative
bed linen,uncomfortable smell,Negative
bed linen,New,Positive
the view,better,Positive
Rooms,super small,StrongNegative
the bathroom,super small,StrongNegative
high floor,more quite,Positive
it,hot,Negative
it,humid,Negative
it,smelly,Negative
Bath shower,didn 't work,Negative
Rooms,very outdated,StrongNegative
Rooms,small,Negative
Rooms,smelly,Negative
Elevator,so small,Negative
the fridge,broken,Negative
this place,won 't return,Negative
,Not worth going to !,Negative
hotels,One of the worst I 've ever seen,Negative
Lobby,full of flies,Negative
it,great fun !!!,StrongPositive
quality of tha staff 's services,would like to stress,Positive
the preciseness,would like to stress,Positive
holiday stay,best ever,StrongPositive
holiday stay,best ever,StrongPositive
place,marvelous,StrongPositive
,very plaesantly surprised,StrongPositive
the hotel,liked,Positive
the overall location,liked,Positive
,Spoiled the impression of the trip,Negative
furniture,very old,StrongNegative
smell,a disgusting,Negative
linens,faded,Negative
bed,creaky,Negative
hotel,Terrible,StrongNegative
Тhis,not a four star hotel,Negative
Rooms,not correspond to the pictures,Negative
child pool,cold,Negative
maxxiland,really good,StrongPositive
a la carte restaurants,very good,StrongPositive
hotel,Best,StrongPositive
Rooms,good,Positive
the menus,everytime same,Negative
,Range of restaurants and bars,Positive
Rooms,large,Positive
Rooms,very comfortable.Lounge,StrongPositive
pool areas,Superb,StrongPositive
beach area,Lovely,Positive
Spa area,excellent,StrongPositive
gym facilities,grewat,StrongPositive
aqua park area,large,Positive
areas,beautifully decorated,Positive
areas,very large,StrongPositive
hotel,Excellent,StrongPositive
staff,Excellent,StrongPositive
facilities,excellent,StrongPositive
room,always clean,StrongPositive
location,convenient,Positive
staff,welcomes,Positive
staff,feels like coming home,Positive
location,Good,Positive
the hotel,renovated,Positive
the hotel,covered with constriction things,Negative
reply much quicker,expect them,Negative
price,inexpensive,Positive
staff,Friendy,Positive
the hotel,'ve stayed for 3 times last 12 month,Positive
Service,rather poor,Negative
service,very poor,StrongNegative
,did not feel very safe at all,Negative
Our room,right next to the bar / club area,Negative
location,excellent,StrongPositive
the price,affordable,Positive
,loud,Negative
the reception staff,not very friendly or helpful,Negative
location,Great,StrongPositive
the loud disco music,hear,Negative
the Oberoi Udaivilas Luxury Hotel,the most wonderful part of the trip,Positive
there,definitely going again,StrongPositive
It,unique blend of the old world royal charm and the modern luxuries,StrongPositive
this place,how grand looks,Positive
,Highly recommended,StrongPositive
apartment,nice,Positive
apartment,cleaned daily,Positive
taxi ride to the town center & amp,bars,Positive
taxi ride to the town center & amp,short,Positive
,Higly recommended !!!!!!,StrongPositive
staff,great,StrongPositive
food,great,StrongPositive
TV,good,Positive
TV,with a lot of channels,Positive
bathroom,nice,Positive
bathroom,with all necessary things,Positive
balcony,liked,Positive
the carpet,always dirty,Negative
The stuff,not really smiling and nice,Negative
The stuff,helped quickly,Positive
cleanliness,not the hotel 's best side,Negative
air · conditioner,bad,Negative
air · conditioner,hardly working,Negative
Hotel location,close to the center of Baku,Positive
,Right at the start of Vitosha street,Positive
,within walking distance of all attractions in the center and subway station,Positive
it,kept clean,Positive
The hotel,looks a bit dated,Negative
hotel,good,Positive
the stay,pleasant,Positive
the style,bit dated,Negative
Food prices,completely out of touch with Sofia reality,Negative
staff,helpful,Positive
staff,attentive,Positive
It,not run down or anything,Positive
location,Great,StrongPositive
reason to eat in,there is no,Positive
reason to eat in,close to restaurants and bars,Positive
its location,The best,StrongPositive
to use public transportation,difficult,Negative
This,a deal breaker,Negative
This,would have booked a better hotel,Negative
20 EUR “ late check · in fee,were charged,Negative
,backpackers only,Negative
set of house rules that seemed made for partying teenagers,were provided,Negative
,Disappointed,Negative
reviews,really underwhelmed,StrongNegative
reviews,excellent,StrongPositive
,non · children holiday makers were mixed in with children holiday makers,Negative
,noisy,Negative
the only area,had people smoking,Negative
,could have been separated,Negative
no · smoking areas,there are,Positive
no · smoking areas,not see any actual indication of where,Negative
services,Very Good,StrongPositive
Entertainment program,very Good,StrongPositive
GUEST RELATIONS staff,very Good,StrongPositive
Aqua park,very nice,StrongPositive
Aqua park,big,Positive
A la carte restaurant steak House,in a very nice location on the golf field,Positive
All the sercices,very Good,StrongPositive
Pool,very Good,StrongPositive
fitnes,very Good,StrongPositive
spa,very Good,StrongPositive
staff,very Good,StrongPositive
bars,very Good,StrongPositive
restaurants,very Good,StrongPositive
Holiday,Best,StrongPositive
the Sunrise restaurant,preferred,Positive
the meals,aimed more for the Russians and Egyptians,Negative
the air conditioning,worked better,Positive
food,could have been better,Negative
the service,much better,StrongPositive
Sentido,apposed,Negative
The hotel,tidy,Positive
The hotel,very clean,StrongPositive
setting,very spacious,StrongPositive
setting,beautiful,Positive
a bus stop that goes to the RER station,there is,Positive
Rungis market,there is,Positive
Minibus,goes from the airport to a hotel,Positive
Transfer from the airport to the hotel,free,Positive
Transfer from hotel to airport,6 Euro.,Negative
The room,very small,StrongNegative
Hotel Premiere Classe Orly Rungis,near the airport,Negative
Hotel Premiere Classe Orly Rungis,close to Orly major highways,Negative
Hotel Premiere Classe Orly Rungis,noise of passing large vehicles,Negative
The Titanic Palace,one of the most beautiful hotels I have seen,Positive
.Taxis,very reasonable,StrongPositive
the staff,tried their best to help,Positive
English Schhh tonic,never went hungry,Positive
food,never went hungry,Positive
English Schhh tonic,not all to my taste,Negative
food,not all to my taste,Negative
Drinks,fine,Positive
it,with a little more bar entertainment would have been a perfect break,Negative
Shops,only a walk away.As,Positive
Shops,cheaper off resort,Negative
bus from hotel,there is,Positive
,A magical taste of Egypt,Positive
the hotel,loved,StrongPositive
the hotel,will be going again,Positive
the hotel,relaxed in comfort,Positive
it,clean,Positive
it,equipped with basics,Positive
it,would be enough space for one person,Positive
The room,different story,Negative
small pool on the roof,there is,Positive
Staff,very friendly,StrongPositive
